% of Total,% من الإجمالي
", {0} failed",، فشل {0}
Assign amenities to spaces so members can filter bookings by required facilities.,اربط المرافق بالمساحات ليتمكن الأعضاء من تصفية الحجوزات حسب المرافق المطلوبة.
Assigned Space,المساحة المخصصة
Assigned To,مسند إلى
Assignment,التعيين
"Attach code examples to documentation entries for API usage, integrations, and automation recipes.",أرفق أمثلة برمجية بإدخالات التوثيق لاستخدام API والتكاملات ووصفات الأتمتة.
Attach legal documents and templates to contracts for compliance tracking.,أرفق المستندات القانونية والنماذج بالعقود لتتبع الامتثال.
Attached Legal Documents / المستندات المرفقة,المستندات المرفقة
Attached Legals,المستندات القانونية المرفقة
Attachments / المرفقات,المرفقات
Attendees,الحضور
Attendees for {0},الحضور في {0}
attends,يحضر
Author / الكاتب,الكاتب
Author Name / اسم الكاتب,اسم الكاتب
Auto Generated,مُنشأ تلقائياً
Auto Renew,تجديد تلقائي
Auto Renew / تجديد تلقائي,تجديد تلقائي
Auto-Capture Snapshots / التقاط تلقائي للقطات,التقاط تلقائي للقطات
Auto-created from Online Payment {0},تم الإنشاء تلقائياً من الدفع الإلكتروني {0}
Auto-Expire Day Passes / انتهاء التصاريح تلقائياً,انتهاء التصاريح تلقائياً
Auto-Expiry,انتهاء تلقائي
Auto-generated from Day Pass {0},تم إنشاؤه تلقائياً من تصريح {0}
Auto-generated from Membership {0},تم الإنشاء تلقائياً من العضوية {0}
Auto-generated from Space Booking {0},تم الإنشاء تلقائياً من حجز المساحة {0}
Auto-generated receipts for every payment — linked to invoices and credit transactions.,إيصالات تُنشأ تلقائياً لكل دفعة — مرتبطة بالفواتير ومعاملات الرصيد.
Auto-Reconcile Payments,مطابقة المدفوعات تلقائياً
Auto-refresh in {0}s,تحديث تلقائي خلال {0} ثانية
Auto-renewal disabled,تم إلغاء التجديد التلقائي
Auto-renewal enabled,تم تفعيل التجديد التلقائي
"Automatic daily captures of occupancy, revenue, and membership metrics.",التقاط تلقائي يومي لمقاييس الإشغال والإيرادات والعضويات.
Available,المتاح
available,متاح
Available Credits,الرصيد المتاح
Available for Booking,متاح للحجز
Available Placeholders,العناصر النائبة المتاحة
Available Plans,الخطط المتاحة
Available Spaces / المساحات المتاحة,المساحات المتاحة
Available — متاح,متاح
Average Booking Duration / متوسط مدة الحجز,متوسط مدة الحجز
Average Revenue Per Booking / متوسط الإيراد لكل حجز,متوسط الإيراد لكل حجز
Avg Occupancy %,متوسط الإشغال %
Avg Revenue,متوسط الإيرادات
Award badges upon completing training modules or achieving milestones.,امنح شارات عند إتمام وحدات التدريب أو تحقيق إنجازات.
Award Criteria,معايير المنح
Awarded Badge,الشارة الممنوحة
Back to Portal,العودة للبوابة
Badge,الشارة
Badge #,شارة #
Badge Awarded On,تاريخ منح الشارة
Badge Code,رمز الشارة
Badge Display,عرض الشارات
Badge Image,صورة الشارة
Badge Name,اسم الشارة
Badge Number,رقم الشارة
Badge Printed,تمت طباعة الشارة
Badges,الشارات
Badges appear on member profiles in the directory and community pages.,تظهر الشارات على ملفات الأعضاء في الدليل وصفحات المجتمع.
Bank Transfer / تحويل بنكي,تحويل بنكي
Base Amount,المبلغ الأساسي
Base: {0} → Final: {1},الأساسي: {0} → النهائي: {1}
Basic Hot Desk,مكتب مشترك أساسي
Beginner,مبتدئ
Benefits,المزايا
Bilingual,ثنائي اللغة
Bilingual template requires both Arabic and English terms,النموذج ثنائي اللغة يتطلب شروطاً بالعربية والإنجليزية
Billing,الفواتير
Billing & Invoicing,الفوترة والفواتير
Billing Cycle,دورة الفوترة
Billing Cycle / دورة الفوترة,دورة الفوترة
Book,حجز
Book a Space,حجز مساحة
Book a Space — ARKSpace,حجز مساحة — أرك سبيس
Book Now,احجز الآن
Book Now — احجز الآن,احجز الآن
Book Space — حجز المساحة,حجز المساحة
booked,محجوز
Booking,الحجز
Booking / الحجز,الحجز
Booking Analytics,تحليلات الحجوزات
Booking approvals,موافقات الحجوزات
Booking Cancelled,حجز ملغى
Booking cancelled successfully,تم إلغاء الحجز بنجاح
Booking Cancelled — {{ doc.booking_id or doc.name }},إلغاء الحجز — {{ doc.booking_id or doc.name }}
Booking Confirmation,تأكيد الحجز
Booking Confirmed,تأكيد الحجز
Booking Confirmed — {{ doc.booking_id or doc.name }},تأكيد الحجز — {{ doc.booking_id or doc.name }}
Booking created: {0},تم إنشاء الحجز: {0}
Booking Duration,مدة الحجز
Booking failed. Please check availability.,فشل الحجز. يرجى التحقق من التوفر.
Booking Flow,تدفق الحجوزات
Booking Flow Monitor,مراقبة تدفق الحجوزات
Booking ID,رقم الحجز
Booking Lifecycle,دورة حياة الحجز
Booking must be submitted,يجب اعتماد الحجز
Booking must be submitted before check-in,يجب اعتماد الحجز قبل تسجيل الوصول
Booking Patterns,أنماط الحجوزات
Booking Patterns by Hour,أنماط الحجز حسب الساعة
Booking Payment / دفعة حجز,دفعة حجز
Booking Prefix,بادئة الحجز
Booking Revenue,إيرادات الحجوزات
Booking Revenue / إيرادات الحجوزات,إيرادات الحجوزات
Booking status is {0} — cannot check in,حالة الحجز {0} — لا يمكن تسجيل الدخول
Booking Type,نوع الحجز
Booking Type — نوع الحجز,نوع الحجز
Booking Types,أنواع الحجوزات
Booking {0} created for {1}!,تم إنشاء الحجز {0} لـ {1}!
Booking {0} created!,تم إنشاء الحجز {0}!
Booking {0} is already {1},الحجز {0} بالفعل {1}
Booking {0} is not submitted,الحجز {0} غير معتمد
Booking {0} not found,الحجز {0} غير موجود
"Booking {0} status is {1}, expected Checked In",حالة الحجز {0} هي {1}، المتوقع مسجل الدخول
"Booking {0} status is {1}, expected Confirmed",حالة الحجز {0} هي {1}، المتوقع مؤكد
Bookings,الحجوزات
Bookings & CRM,الحجوزات والعملاء
Bookings & Members,الحجوزات والأعضاء
Bookings (Period),الحجوزات (الفترة)
Bookings / الحجوزات,الحجوزات
Bookings by Hour,الحجوزات حسب الساعة
Bookings — الحجوزات,الحجوزات
Branch,الفرع
Branch / الفرع,الفرع
Branch 2 (Optional),الفرع 2 (اختياري)
Branch 3 (Optional),الفرع 3 (اختياري)
Branch Code / رمز الفرع,رمز الفرع
Branch Comparison,مقارنة الفروع
Branch management,إدارة الفروع
Branch Manager / مدير الفرع,مدير الفرع
Branch Name (Arabic) / اسم الفرع بالعربية,اسم الفرع بالعربية
Branch Name / اسم الفرع,اسم الفرع
Branch operations oversight,مراقبة عمليات الفروع
Branch Transfers,نقل الفروع
Branch — الفرع,الفرع
Branches,الفروع
Branches — الفروع,الفروع
Brand Consistency,اتساق الهوية البصرية
Bronze,برونزي
Browse,تصفح
Browse first,تصفح أولاً
Browse our plans and start your membership today!,تصفح خططنا وابدأ عضويتك اليوم!
Browse Spaces,تصفح المساحات
Budget,الميزانية
Budget Monthly,الميزانية الشهرية
"Build connections, share knowledge, and attend events:",ابنِ علاقات، شارك المعرفة، واحضر الفعاليات:
Build your community,بناء مجتمعك
Built-in CRM & Lead Pipeline,CRM مدمج ومسار عملاء
Bulk Cancel,إلغاء جماعي
Bulk Check In,تسجيل وصول جماعي
Bulk Check Out,تسجيل مغادرة جماعي
Bulk Generate QR,إنشاء QR جماعي
Bulk No Show,عدم حضور جماعي
Bulk {0} Result,نتيجة {0} الجماعي
Bundles,الحزم
Busiest Day / أكثر يوم ازدحاماً,أكثر يوم ازدحاماً
Business,أعمال
Business Incubators,حاضنات الأعمال
Button Border Radius (px),نصف قطر حدود الزر (بكسل)
Button Font Weight,وزن خط الزر
Buttons,الأزرار
Cancel,إلغاء
Cancel before check-in. Refund policies apply per space type.,الإلغاء قبل تسجيل الدخول. تطبق سياسات الاسترداد حسب نوع المساحة.
Cancel Registration,إلغاء التسجيل
Cancel {0} booking(s)? This cannot be undone.,إلغاء {0} حجز(حجوزات)؟ لا يمكن التراجع.
Cancellation,الإلغاء
Cancelled,ملغى
Cancelled / ملغي,ملغي
Cancelled At,ألغي في
Cancelled Bookings / حجوزات ملغاة,حجوزات ملغاة
Cannot cancel before submitting,لا يمكن الإلغاء قبل الاعتماد
Cannot check in a visitor with status {0},لا يمكن تسجيل دخول زائر بحالة {0}
Cannot determine payment amount from {0},تعذّر تحديد مبلغ الدفع من {0}
Cannot send a networking request to yourself,لا يمكن إرسال طلب تواصل لنفسك
Cannot send a request to yourself,لا يمكن إرسال طلب لنفسك
Capabilities,الصلاحيات
Capacity,السعة
Capacity & Pricing,السعة والتسعير
Capacity & Size,السعة والمساحة
Capacity / السعة,السعة
Capacity must be at least 1,يجب أن تكون السعة 1 على الأقل
"Capacity recalculated: {0} desks, {1} offices, {2} meeting rooms",تم إعادة حساب السعة: {0} مكاتب، {1} مكاتب خاصة، {2} غرف اجتماعات
CAPS Field-Level Security,أمان على مستوى الحقل (CAPS)
Card,بطاقة
Card / بطاقة,بطاقة
Card Last 4,آخر 4 أرقام
Cash,نقدي
Cash / نقدي,نقدي
Category,الفئة
Category / الفئة,الفئة
Change Password,تغيير كلمة المرور
Check / شيك,شيك
Check In,تسجيل الدخول
Check In Now,سجل الدخول الآن
Check in {0} booking(s)?,تسجيل وصول {0} حجز(حجوزات)؟
Check Out,تسجيل الخروج
Check out {0} booking(s)?,تسجيل مغادرة {0} حجز(حجوزات)؟
Check-in,تسجيل الدخول
"Check-in frequency, booking patterns, membership utilization per member.",تكرار تسجيل الدخول، أنماط الحجوزات، استخدام العضوية لكل عضو.
Checked In,تم تسجيل الدخول
Checked In / تم تسجيل الدخول,تم تسجيل الدخول
Checked In At,وقت تسجيل الدخول
Checked in successfully,تم تسجيل الدخول بنجاح
Checked Out,تم تسجيل الخروج
Checked Out At,وقت تسجيل الخروج
Checked out — Duration: {0}h,تم الخروج — المدة: {0} ساعة
Checking in visitor...,جارٍ تسجيل دخول الزائر...
Checking in...,جاري تسجيل الدخول...
Checking out...,جاري تسجيل الخروج...
Checkout URL,رابط الدفع
Choose a Plan,اختر خطة
Choose a topic to explore. Each path includes visual explanations.,اختر موضوعاً لاستكشافه. كل مسار يتضمن شروحات بصرية.
Choose a topic to learn about:,اختر موضوعاً للتعلم:
Choose Plan,اختيار الخطة
Choose Your Pass,اختر تصريحك
Churned,منسحب
Churned Members / أعضاء مغادرون,أعضاء مغادرون
City / المدينة,المدينة
"Classroom booking, study halls, lab scheduling. Day pass for visitors, membership for enrolled students.",حجز الفصول، قاعات الدراسة، جدولة المختبرات. تصريح يوم للزوار، عضوية للطلاب المسجلين.
Click on a space to view details or book,اضغط على مساحة لعرض التفاصيل أو الحجز
Closing Time / وقت الإغلاق,وقت الإغلاق
Cloud Storage (GB),التخزين السحابي (جيجابايت)
Co-Working Day Pass Fee,رسوم تصريح اليوم لمساحة العمل
Co-Working Membership Fee,رسوم عضوية مساحة العمل
Co-working Space,مساحة العمل المشترك
Co-Working Space Booking,حجز مساحة عمل مشتركة
Co-working Space Management,إدارة مساحات العمل المشتركة
Code Examples,أمثلة الكود
Code Examples — أمثلة البرمجة,أمثلة البرمجة
Code Snippets,مقتطفات برمجية
Color,اللون
Colors,الألوان
Command Center,مركز القيادة
Comments Count / عدد التعليقات,عدد التعليقات
Commercial Register / السجل التجاري,السجل التجاري
Community,المجتمع
Community & Events,المجتمع والفعاليات
Community / المجتمع,المجتمع
Community Board,لوحة المجتمع
Community Board & Networking,لوحة مجتمع وتواصل
Community Board — لوحة المجتمع,لوحة المجتمع
Community Event,فعالية مجتمعية
Community Events,فعاليات المجتمع
Community events,فعاليات المجتمع
Community Features,ميزات المجتمع
Community Feed,تغذية المجتمع
Community management,إدارة المجتمع
Community Network,شبكة المجتمع
Community Post,منشور المجتمع
Community Posts,منشورات المجتمع
Company,الشركة
Company / الشركة,الشركة
Company License / ترخيص الشركة,ترخيص الشركة
Company Name,اسم الشركة
Company Representative / ممثل الشركة,ممثل الشركة
Compare snapshots over time to identify trends and optimize operations.,قارن اللقطات عبر الزمن لتحديد الاتجاهات وتحسين العمليات.
Comparison Report,تقرير المقارنة
Complete,مكتمل
Complete Tour,إتمام الجولة
Completed,مكتمل
Completed At,اكتمل في
Completion,إتمام
Completion Date,تاريخ الإتمام
Completion Status,حالة الإتمام
Compliance Tracking,تتبع الامتثال
Complimentary,مجاني
Condition,الشرط
Conditions,الشروط
Configure brand colors and assets that apply across all ARKSpace pages.,اضبط ألوان الهوية والأصول المرئية التي تُطبَّق على جميع صفحات أرك سبيس.
"Configure payment gateways, notification preferences, QR settings, and branch defaults.",كوّن بوابات الدفع وتفضيلات الإشعارات وإعدادات QR وافتراضيات الفروع.
Configure your co-working space management system.,قم بتكوين نظام إدارة مساحات العمل المشتركة.
Confirm,تأكيد
Confirm Booking — تأكيد الحجز,تأكيد الحجز
Confirmed,مؤكد
Confirmed Booking,حجز مؤكد
Confirmed — مؤكد,مؤكد
Connect,تواصل
"Connect ERPNext billing, WhatsApp notifications, and CAPS security from one place.",اربط فوترة ERPNext وإشعارات واتساب وأمان CAPS من مكان واحد.
Connect with Members,تواصل مع الأعضاء
connected,متصل
Connection,اتصال
Connection accepted!,تم قبول الاتصال!
Connection request accepted,تم قبول طلب التواصل
Connection request declined,تم رفض طلب التواصل
Connection request sent to {0},تم إرسال طلب التواصل إلى {0}
Connections,العلاقات
Consider adding feedback for completed tours,يُنصح بإضافة ملاحظات للجولات المكتملة
"Consider setting at least one pricing tier (hourly, daily, or monthly)",يُنصح بتعيين مستوى تسعير واحد على الأقل (ساعي، يومي، أو شهري)
Contact / التواصل,التواصل
Contact us to set up your membership and start using ARKSpace.,تواصل معنا لإعداد عضويتك وبدء استخدام أرك سبيس.
Contacted,تم التواصل
Content,المحتوى
Content / المحتوى,المحتوى
Contract / العقد,العقد
Contract Date / تاريخ العقد,تاريخ العقد
Contract Management,إدارة العقود
Contract Period / مدة العقد,مدة العقد
Contract Template,نموذج العقد
Contract Template / نموذج العقد,نموذج العقد
Contract Templates — قوالب العقود,قوالب العقود
Contract terms (Arabic or English) are required before submission,يجب إدخال شروط العقد (بالعربية أو الإنجليزية) قبل الاعتماد
Contract Terms / شروط العقد,شروط العقد
Contract Title / عنوان العقد,عنوان العقد
Contract Type,نوع العقد
Contracts — العقود,العقود
Conversion,التحويل
Convert,تحويل
Convert leads to members or booking customers.,حوّل العملاء المحتملين إلى أعضاء أو عملاء حجوزات.
Convert to Customer,تحويل لعميل
Convert to Membership,تحويل إلى عضوية
Convert tour visitors into members or booking customers directly from the tour record.,حوّل زوار الجولات إلى أعضاء أو عملاء حجوزات مباشرة من سجل الجولة.
Convert {0} to a Customer?,تحويل {0} إلى عميل؟
Converted,تم التحويل
Converted Customer,العميل المحول
Converted Membership,العضوية المحولة
Converted to Membership,تحويل إلى عضوية
Converting to membership...,جاري التحويل إلى عضوية...
Coordinates / الإحداثيات,الإحداثيات
Corporate,شركات
Cost,التكلفة
"Cost, revenue, pricing masked per role",التكلفة والإيرادات والتسعير مقنّعة حسب الدور
Could not generate payment link. Please try again.,تعذّر إنشاء رابط الدفع. يرجى المحاولة مرة أخرى.
Count,العدد
Country / البلد,البلد
Cover Image,صورة الغلاف
Create & Check In,إنشاء وتسجيل الدخول
Create Account,إنشاء حساب
"Create and manage contracts for memberships, space rentals, and services.",أنشئ وأدر العقود للعضويات وإيجارات المساحات والخدمات.
Create and manage training sessions for member skill development.,أنشئ وأدر جلسات تدريبية لتطوير مهارات الأعضاء.
Create Booking,إنشاء حجز
"Create contract templates with standard terms for memberships, space rental, and services.",أنشئ قوالب عقود بشروط معيارية للعضويات وتأجير المساحات والخدمات.
"Create events with capacity limits, RSVP, and space allocation.",أنشئ فعاليات بحدود سعة وتأكيد حضور وتخصيص مساحات.
"Create internal documentation for space policies, procedures, and member guidelines.",أنشئ توثيقاً داخلياً لسياسات المساحة والإجراءات وإرشادات الأعضاء.
"Create membership plans with different access levels, amenities, and pricing.",أنشئ خطط عضوية بمستويات وصول ومرافق وأسعار مختلفة.
"Create rules that adjust pricing based on peak hours, membership tier, duration, or advance booking.",أنشئ قواعد تعدّل التسعير بناءً على ساعات الذروة أو مستوى العضوية أو المدة أو الحجز المسبق.
Create your first membership plan to get started.,أنشئ أول خطة عضوية للبدء.
Creating a Booking,إنشاء حجز
Creating day pass...,جاري إنشاء التصريح...
Creating membership...,جارٍ إنشاء العضوية...
Creating your account...,جارٍ إنشاء حسابك...
Creating your day pass...,جاري إنشاء تصريحك...
Creative,إبداعية
Credit,إضافة
Credit Flow,تدفق الرصيد
Credit Transaction,معاملة الرصيد
Credit Transactions — معاملات الرصيد,معاملات الرصيد
Credit Wallet,محفظة الرصيد
Credit Wallet — محفظة الرصيد,محفظة الرصيد
Credits,رصيد
credits,أرصدة
"Credits can be added via online payment, manual adjustment, or membership plan allocation.",يمكن إضافة الرصيد عبر الدفع الإلكتروني أو التعديل اليدوي أو تخصيص خطة العضوية.
CRM & Leads,إدارة العملاء المحتملين
CRM & Sales,المبيعات وإدارة العلاقات
CRM Pipeline,خط أنابيب المبيعات
CRM pipeline management,إدارة مسار العملاء
CRM — إدارة العملاء,إدارة العملاء
CRM — العملاء,العملاء
Cross-Location Search,البحث عبر الفروع
Cross-Location Space Search,البحث عن المساحات عبر الفروع
Cross-references,مراجع تبادلية
Currency,العملة
Currency / العملة,العملة
Current Attendees / الحضور الحالي,الحضور الحالي
Current Member,العضو الحالي
Current Occupancy / الإشغال الحالي,الإشغال الحالي
Current Occupant,المستخدم الحالي
Current plan,الخطة الحالية
Currently Occupied,مشغول حالياً
Custom,مخصص
Customer Group,مجموعة العملاء
Customer ID,رقم العميل
Customer Name,اسم العميل
Customer Type,نوع العميل
"Customize colors, logo, and layout for the member-facing portal.",خصص الألوان والشعار والتخطيط لبوابة الأعضاء.
Daily,يومي
Daily Price,السعر اليومي
Daily Rate,السعر اليومي
Daily Snapshots,اللقطات اليومية
"Daily/weekly/monthly revenue breakdown by branch, space type, and payment method.",تفصيل الإيرادات يومي/أسبوعي/شهري حسب الفرع ونوع المساحة وطريقة الدفع.
Danger Color,لون الخطر
Dashboard,لوحة التحكم
Dashboard KPIs,مؤشرات الأداء الرئيسية
Date,التاريخ
Date Format,تنسيق التاريخ
Date From,من تاريخ
Date Range,نطاق التاريخ
Date Range condition requires both start and end dates,شرط نطاق التاريخ يتطلب تاريخ البداية والنهاية
Date start must be before date end,تاريخ البداية يجب أن يكون قبل تاريخ النهاية
Date To,إلى تاريخ
Date — التاريخ,التاريخ
Date:,التاريخ:
day,يوم
Day of Week,يوم الأسبوع
Day of Week condition requires a day selection,شرط يوم الأسبوع يتطلب اختيار يوم
Day Pass,تصريح يومي
Day Pass & Trials / تصريح اليوم والتجربة,تصريح اليوم والتجربة
Day Pass Count / عدد التصاريح اليومية,عدد التصاريح اليومية
Day Pass Created!,تم إنشاء التصريح!
Day pass date cannot be in the past,لا يمكن أن يكون تاريخ التصريح في الماضي
Day pass is not checked in,التصريح غير مسجل دخول
Day pass issuance,إصدار تصاريح اليوم
Day pass must be Active to check in (current: {0}),يجب أن يكون التصريح نشطاً لتسجيل الدخول (الحالي: {0})
Day Pass QR,QR تصريح اليوم
Day Pass Revenue / إيرادات التصاريح اليومية,إيرادات التصاريح اليومية
Day pass status is {0} — cannot check in,حالة التصريح {0} — لا يمكن تسجيل الدخول
Day Pass System,نظام تصاريح اليوم
Day Pass {0} created for {1},تم إنشاء التصريح {0} لـ {1}
Day Pass {0} not found,التصريح {0} غير موجود
Day Pass {0} — {1} ({2}),تصريح {0} — {1} ({2})
Day Pass — تصاريح اليوم,تصاريح اليوم
Day Passes,تصاريح اليوم
Day passes provide single-day access without a full membership.,تصاريح اليوم توفر دخولاً ليوم واحد بدون عضوية كاملة.
days,أيام
Dear,عزيزي/عزيزتي
Debit,خصم
Decline,رفض
Declined,مرفوض
Dedicated Desk,مكتب مخصص
Dedicated Desk — مكتب مخصص,مكتب مخصص
Default Branch / الفرع الافتراضي,الفرع الافتراضي
Default Currency,العملة الافتراضية
Default Day Pass Rate / سعر التصريح الافتراضي,سعر التصريح الافتراضي
Default Gateway,البوابة الافتراضية
Default Icon Size,حجم الأيقونة الافتراضي
Default Instructor,المدرب الافتراضي
"Define all available amenities — WiFi, projector, printer, coffee, parking, lockers, etc.",حدد جميع المرافق المتاحة — واي فاي، بروجكتور، طابعة، قهوة، مواقف، خزائن، إلخ.
"Define membership tiers with different access levels, credit allowances, and amenity bundles.",حدد مستويات العضوية بصلاحيات مختلفة وحصص رصيد وباقات مرافق.
"Define which documentation entries must be read before this one, creating a structured learning path.",حدد إدخالات التوثيق التي يجب قراءتها قبل هذا الإدخال لإنشاء مسار تعلم منظم.
Delivery,توصيل
Demo Day,يوم عرض
Depends On,يعتمد على
Deposit,تأمين
Deposit / تأمين,تأمين
Depth,العمق
Depth — العمق,العمق
Description,الوصف
Description (Arabic) / الوصف بالعربية,الوصف بالعربية
